% continuousInputs: false
% addNoisyOutputs: true
% numNoisyOutputColumns: 3
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$LimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE noise1 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE noise2 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE noise3 {n1, n2, n3, n4, n5, n6, n7, n8, n9, n10, n11, n12, n13, n14, n15, n16}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
a, c, c, n12, n3, n1, m, t, h
b, b, a, n7, n10, n8, g, m, j
b, a, c, n6, n12, n16, q, h, r
a, c, c, n9, n15, n16, l, f, p
b, a, a, n13, n11, n2, f, l, l
b, d, b, n15, n11, n14, j, e, j
b, c, a, n6, n9, n5, l, q, h
b, b, b, n8, n1, n3, l, j, q
b, b, b, n15, n1, n4, r, l, i
d, b, c, n7, n10, n10, l, q, l
a, d, c, n10, n10, n15, l, k, q
a, d, c, n9, n8, n3, l, k, q
a, d, c, n13, n10, n3, l, j, q
a, d, c, n15, n12, n6, l, j, q
c, d, d, n2, n5, n6, u, l, q
c, d, d, n5, n10, n5, u, l, q
a, c, c, n1, n12, n14, m, t, h
a, d, a, n11, n9, n7, l, j, q
b, c, b, n6, n4, n12, l, q, h
b, a, c, n7, n10, n10, q, h, r
d, b, c, n7, n11, n6, g, s, u
a, d, a, n16, n2, n5, e, l, l
b, c, a, n8, n16, n9, l, q, o
c, a, b, n2, n14, n4, k, m, m
a, c, d, n9, n11, n15, l, f, p
b, a, a, n1, n10, n6, u, k, o
c, d, d, n13, n13, n14, t, l, q
a, d, a, n1, n10, n15, l, j, q
b, a, a, n9, n7, n14, f, m, j
d, c, c, n9, n16, n1, l, q, m
c, b, c, n9, n5, n12, h, s, u
b, b, b, n15, n3, n2, r, l, i
c, d, d, n16, n14, n2, u, l, q
a, d, a, n16, n13, n2, j, e, j
c, a, b, n14, n15, n2, l, j, q
b, a, a, n8, n15, n4, l, q, h
b, a, a, n12, n2, n3, u, k, o
d, d, a, n16, n15, n13, h, g, o
b, c, b, n8, n1, n3, r, l, i
a, a, a, n13, n12, n16, l, q, h
b, b, a, n15, n12, n5, l, f, p
c, a, b, n1, n13, n12, l, j, q
a, a, b, n7, n7, n2, l, q, h
d, b, c, n10, n12, n7, l, q, i
d, b, c, n1, n9, n15, l, q, m
a, b, d, n10, n2, n12, l, f, p
d, b, c, n3, n7, n4, g, s, e
b, c, b, n7, n6, n1, l, q, h
b, c, a, n11, n11, n2, l, q, m
b, a, a, n13, n8, n16, e, l, l
b, b, a, n4, n9, n15, l, f, p
d, d, d, n6, n10, n4, l, j, p
b, c, d, n7, n13, n13, f, h, m
b, a, c, n8, n1, n2, u, l, q
a, a, a, n14, n15, n5, e, u, i
d, c, c, n8, n13, n16, f, h, m
a, a, a, n3, n16, n12, m, q, h
b, c, a, n10, n16, n12, l, q, m
b, b, a, n13, n5, n5, l, f, p
b, c, a, n7, n13, n14, l, p, m
a, a, a, n13, n14, n9, e, u, i
d, d, a, n8, n14, n13, l, q, h
a, a, a, n10, n11, n12, g, m, j
c, b, c, n15, n13, n3, r, l, i
b, b, c, n11, n9, n6, q, h, r
a, a, a, n5, n14, n10, l, q, h
b, a, a, n15, n4, n4, u, k, o
d, c, c, n10, n8, n13, f, s, u
d, b, c, n11, n11, n14, g, s, u
a, d, c, n3, n10, n5, l, k, q
a, c, d, n9, n6, n6, l, f, p
a, a, b, n8, n12, n10, e, u, i
d, d, a, n14, n6, n16, l, p, h
b, a, c, n10, n5, n12, q, g, r
c, b, c, n12, n10, n11, j, e, j
a, d, a, n9, n5, n11, g, g, o
d, d, a, n13, n1, n4, q, r, e
b, b, a, n6, n4, n12, j, e, j
c, a, d, n8, n10, n2, e, l, q
c, b, c, n14, n14, n6, r, l, i
a, c, c, n7, n2, n10, q, h, r
b, b, a, n9, n7, n4, j, e, j
a, c, c, n10, n7, n11, l, q, h
c, b, c, n14, n11, n2, l, q, m
a, a, a, n10, n13, n2, l, q, h
a, c, d, n16, n6, n2, l, f, p
d, b, c, n1, n10, n1, l, p, m
b, c, a, n7, n15, n11, l, q, h
d, b, c, n12, n2, n11, g, s, u
b, b, a, n6, n5, n3, q, m, e
a, a, a, n3, n4, n16, e, u, i
d, b, c, n9, n4, n1, l, q, h
c, a, c, n13, n15, n10, l, j, q
b, c, a, n9, n11, n8, l, q, l
c, b, b, n10, n8, n13, j, e, j
a, c, d, n3, n6, n16, q, h, r
d, b, c, n8, n13, n14, l, q, m
b, c, b, n16, n9, n12, l, q, h
a, d, b, n7, n3, n14, l, j, q
d, b, c, n9, n9, n4, e, u, i
b, c, b, n12, n10, n3, l, q, h
a, c, a, n11, n14, n7, f, h, m
d, b, c, n13, n8, n4, l, q, m
b, c, a, n15, n13, n11, l, q, m
a, a, a, n16, n8, n5, l, q, h
d, b, c, n7, n12, n15, g, s, u
d, d, a, n11, n3, n11, q, r, e
a, c, c, n16, n15, n4, g, m, j
a, d, a, n16, n14, n7, l, j, q
a, a, d, n14, n16, n10, e, u, h
a, a, a, n9, n10, n15, e, u, i
b, c, a, n16, n10, n8, l, q, m
b, b, a, n4, n2, n9, j, u, j
b, c, b, n16, n9, n7, l, q, h
c, b, c, n11, n16, n15, r, l, i
d, b, c, n6, n15, n13, l, q, m
d, b, c, n5, n2, n7, k, q, m
b, a, a, n3, n16, n14, l, f, p
d, d, a, n11, n15, n2, g, g, o
a, c, b, n11, n1, n2, r, l, i
a, b, a, n8, n15, n10, j, e, j
a, d, c, n16, n10, n8, l, j, q
b, a, c, n16, n6, n15, p, h, r
d, b, c, n16, n13, n15, l, q, l
a, a, a, n4, n15, n7, e, u, i
b, a, a, n5, n3, n16, g, m, k
b, a, d, n1, n13, n1, e, l, l
a, d, c, n12, n7, n4, l, j, q
c, b, c, n6, n11, n2, g, t, u
d, b, c, n8, n14, n14, f, s, u
b, b, a, n9, n5, n2, l, f, p
a, d, c, n11, n7, n6, l, j, q
a, c, d, n3, n16, n5, l, f, p
a, d, d, n14, n4, n6, l, j, q
a, a, a, n6, n7, n9, l, q, h
c, a, b, n16, n15, n14, l, j, q
b, a, a, n3, n16, n1, u, k, o
a, c, c, n3, n6, n14, q, h, r
d, d, a, n3, n16, n3, l, j, r
d, b, b, n6, n11, n6, l, p, m
b, a, c, n8, n16, n16, q, h, r
b, c, a, n6, n1, n7, l, q, m
a, d, a, n12, n15, n6, k, j, q
d, d, a, n1, n15, n6, m, t, h
a, c, d, n15, n12, n1, f, h, m
d, a, c, n10, n16, n7, l, q, m
b, b, c, n2, n12, n7, l, j, q
b, b, b, n14, n8, n7, l, j, q
c, b, c, n2, n12, n1, l, j, q
a, a, a, n14, n2, n2, e, u, j
c, b, c, n6, n10, n13, l, q, m
b, d, a, n4, n7, n12, e, l, l
a, c, d, n4, n2, n6, l, f, q
b, b, b, n9, n5, n15, r, l, i
d, d, a, n5, n14, n1, m, t, i
d, d, a, n12, n1, n16, l, q, h
c, a, b, n6, n6, n16, k, m, m
c, b, c, n2, n6, n14, l, j, q
d, b, c, n10, n9, n15, l, p, m
a, a, a, n16, n9, n2, e, u, i
b, b, a, n11, n1, n8, j, e, k
d, b, c, n8, n6, n4, l, q, m
d, d, a, n1, n1, n2, m, t, i
b, c, b, n15, n4, n4, l, j, q
a, c, d, n7, n5, n3, l, f, p
a, c, c, n10, n9, n3, q, h, r
a, d, a, n4, n2, n10, k, e, i
a, c, c, n7, n14, n10, q, h, r
b, b, b, n2, n11, n12, r, l, i
d, b, c, n15, n3, n10, l, q, m
a, d, d, n7, n9, n15, l, j, q
b, a, a, n7, n1, n16, u, k, o
a, b, a, n15, n10, n9, l, q, h
a, d, c, n11, n13, n9, l, j, q
d, b, d, n5, n10, n2, g, s, u
a, a, a, n15, n10, n11, e, u, i
b, b, a, n8, n9, n14, j, e, j
c, d, d, n15, n1, n15, u, l, q
d, b, c, n1, n15, n5, l, q, m
d, d, a, n12, n7, n2, m, t, h
a, d, a, n6, n16, n12, e, l, l
a, c, c, n2, n10, n1, q, h, r
a, a, a, n9, n7, n1, m, q, h
b, c, a, n15, n9, n7, l, q, m
a, d, d, n8, n13, n13, j, e, k
a, c, c, n9, n15, n16, g, m, j
b, b, b, n14, n9, n6, r, l, h
a, a, a, n8, n3, n12, k, q, h
b, d, c, n14, n8, n6, q, h, r
b, a, c, n12, n9, n12, q, h, r
a, a, a, n9, n8, n10, l, q, h
c, d, d, n6, n7, n6, u, l, q
b, c, b, n3, n9, n16, l, j, q
d, b, c, n10, n14, n15, l, q, h
b, a, a, n4, n8, n15, e, l, l
b, a, c, n9, n12, n11, q, h, r
c, d, d, n3, n11, n1, u, l, q
a, a, a, n6, n13, n16, l, q, h
d, d, a, n4, n14, n1, g, g, o
b, b, b, n9, n14, n3, r, l, i
a, d, a, n2, n4, n11, l, j, q
b, b, a, n6, n3, n11, q, m, e
c, d, d, n10, n6, n1, u, l, q
b, b, a, n7, n6, n13, j, e, j
b, c, a, n16, n14, n13, l, q, l
c, d, c, n12, n15, n2, u, l, q
a, a, a, n10, n7, n9, e, u, i
d, b, c, n3, n3, n3, g, s, u
b, a, a, n4, n3, n1, j, e, j
c, a, a, n7, n1, n16, l, j, q
d, d, a, n6, n15, n1, m, s, h
a, c, d, n10, n1, n10, f, h, l
a, d, a, n5, n4, n16, l, j, p
b, c, b, n14, n7, n9, l, q, h
d, d, d, n9, n8, n5, u, k, q
c, d, d, n7, n1, n15, u, l, q
b, c, a, n5, n12, n2, l, q, m
c, d, d, n3, n9, n3, u, l, q
a, a, a, n4, n1, n5, e, u, i
a, d, c, n12, n9, n2, l, j, p
d, d, a, n13, n12, n5, o, t, h
a, a, a, n6, n16, n12, e, u, i
a, a, a, n7, n1, n6, l, q, h
b, c, a, n7, n10, n13, l, q, m
a, a, a, n1, n2, n5, e, u, i
a, a, a, n2, n11, n4, e, u, i
c, a, b, n10, n16, n2, l, j, q
b, b, a, n7, n4, n4, j, e, j
b, d, a, n14, n10, n7, l, k, q
d, b, d, n1, n9, n10, l, q, i
b, b, b, n15, n11, n14, r, l, i
a, b, c, n3, n14, n10, g, m, k
a, c, d, n15, n7, n7, l, f, p
d, b, c, n16, n13, n1, g, s, e
c, b, b, n14, n12, n12, r, l, i
a, d, d, n2, n5, n9, k, j, q
b, c, a, n9, n12, n11, l, q, m
b, c, a, n14, n8, n4, l, q, m
a, d, c, n13, n3, n4, l, j, q
b, a, a, n16, n9, n6, u, k, o
b, b, c, n9, n1, n4, r, l, i
b, a, a, n4, n2, n8, e, k, l
c, a, c, n1, n4, n10, q, h, r
b, c, d, n2, n3, n10, m, f, p
b, b, a, n5, n14, n1, e, l, l
a, c, d, n1, n6, n6, f, h, m
d, d, a, n10, n4, n5, l, i, q
b, c, a, n16, n7, n14, l, q, m
a, d, c, n7, n9, n7, m, j, r
c, d, b, n4, n10, n5, l, j, q
d, d, a, n3, n2, n5, m, t, h
c, d, a, n4, n3, n4, l, p, h
d, c, b, n2, n12, n15, q, h, r
b, c, b, n1, n8, n14, l, q, h
b, a, d, n6, n10, n14, u, l, q
b, b, a, n12, n1, n3, l, q, m
a, a, a, n6, n2, n15, l, q, h
d, d, a, n13, n11, n7, q, r, e
c, c, c, n12, n6, n4, r, l, i
a, a, a, n13, n3, n9, e, t, i
a, d, a, n7, n2, n11, l, j, q
c, d, d, n13, n6, n2, u, l, q
c, d, d, n10, n1, n9, e, l, p
a, d, c, n5, n6, n16, l, j, q
a, d, c, n15, n8, n13, q, g, r
d, b, c, n14, n10, n10, l, p, m
d, d, d, n6, n2, n14, l, j, q
b, b, b, n7, n13, n1, r, m, i
a, c, c, n8, n5, n3, l, f, p
a, a, c, n1, n11, n9, l, i, q
a, d, a, n4, n10, n14, e, k, l
a, c, d, n6, n16, n6, q, h, r
a, a, a, n2, n16, n1, l, q, h
d, b, c, n4, n13, n1, l, q, m
a, a, a, n10, n15, n2, e, u, i
b, a, a, n3, n9, n8, u, k, o
c, a, b, n16, n5, n11, l, j, q
d, d, a, n11, n3, n5, g, g, o
a, d, c, n6, n11, n4, l, j, q
d, a, c, n3, n4, n4, l, q, m
b, b, a, n11, n13, n2, l, f, p
a, d, a, n16, n5, n11, l, j, q
a, b, d, n10, n10, n10, k, q, m
a, d, a, n12, n10, n13, k, j, q
d, b, b, n13, n10, n3, l, q, h
d, b, c, n2, n16, n1, e, u, i
d, b, c, n2, n12, n9, g, s, u
a, a, a, n4, n13, n15, e, u, h
d, d, a, n5, n15, n9, j, e, j
a, c, d, n4, n8, n3, g, h, m
b, d, a, n8, n9, n13, l, q, h
a, d, b, n5, n4, n12, l, j, q
d, b, c, n11, n8, n2, g, s, u
b, c, b, n6, n14, n2, l, q, h
c, d, c, n16, n15, n12, u, l, q
b, d, b, n11, n14, n6, l, j, q
c, d, d, n15, n12, n3, u, l, q
b, c, a, n15, n3, n8, l, q, m
c, b, c, n8, n15, n14, l, j, q
b, a, c, n10, n5, n2, q, h, r
a, d, a, n15, n4, n3, j, e, i
a, c, d, n6, n12, n12, l, f, p
b, a, c, n7, n14, n3, q, h, r
a, d, c, n5, n13, n1, k, j, q
a, d, d, n5, n10, n8, f, h, m
c, b, c, n15, n5, n1, j, e, j
b, d, a, n1, n15, n2, l, q, m
d, a, a, n13, n11, n5, e, u, i
b, a, a, n6, n16, n15, g, m, j
b, a, a, n6, n16, n16, g, o, j
b, a, a, n16, n2, n16, e, l, l
b, a, c, n3, n5, n15, q, h, r
d, b, c, n15, n4, n16, l, q, h
c, d, b, n1, n2, n4, k, m, m
a, d, a, n16, n15, n5, l, j, q
a, c, d, n14, n10, n14, f, h, m
a, b, d, n11, n11, n15, l, q, h
c, b, c, n14, n2, n7, j, f, j
d, b, c, n13, n8, n2, e, u, i
c, c, b, n14, n13, n16, l, j, q
a, c, c, n14, n11, n16, g, m, j
b, b, d, n3, n1, n12, q, m, e
d, b, c, n13, n8, n6, l, q, m
a, c, c, n16, n8, n7, f, h, l
d, d, a, n3, n9, n2, l, j, q
a, d, c, n4, n16, n13, l, j, q
c, d, d, n12, n4, n12, u, l, q
c, b, a, n9, n2, n8, l, j, q
c, a, a, n11, n1, n8, k, m, l
b, b, a, n8, n3, n6, l, f, p
b, c, a, n13, n6, n1, l, r, m
b, a, a, n15, n14, n14, e, l, l
b, c, a, n10, n14, n6, k, q, m
a, a, c, n5, n5, n1, l, j, q
d, d, a, n7, n4, n3, l, j, q
a, d, c, n13, n15, n16, l, j, q
c, d, d, n10, n11, n8, u, l, q
c, c, a, n8, n2, n14, l, q, m
a, a, a, n7, n9, n4, l, q, h
a, d, b, n1, n6, n13, l, j, q
a, a, a, n2, n6, n2, e, t, i
d, d, a, n1, n12, n5, m, t, h
d, b, c, n11, n3, n12, l, q, m
a, c, d, n10, n7, n8, l, f, q
b, a, a, n15, n5, n2, u, k, o
d, d, a, n14, n10, n16, g, g, o
b, c, b, n1, n13, n9, l, p, h
a, d, a, n7, n9, n4, e, l, l
a, a, a, n15, n11, n10, l, q, h
d, b, b, n6, n16, n5, l, q, o
b, b, a, n11, n11, n16, l, f, p
c, b, c, n14, n2, n8, g, s, u
a, a, b, n11, n16, n3, f, u, i
d, b, c, n5, n2, n4, l, q, h
d, b, d, n2, n9, n4, k, q, m
b, d, d, n4, n1, n6, u, l, q
c, b, c, n16, n2, n6, l, j, q
a, a, a, n2, n3, n14, l, q, h
d, d, a, n12, n10, n16, l, j, q
a, d, a, n9, n3, n12, l, j, q
d, d, a, n9, n10, n10, m, t, h
a, c, d, n2, n5, n14, l, f, p
d, d, a, n13, n4, n1, q, r, u
a, a, a, n1, n4, n6, l, q, h
b, a, c, n7, n14, n5, q, h, r
b, b, a, n12, n1, n6, j, e, j
c, b, c, n11, n16, n6, l, q, h
a, c, c, n4, n2, n10, m, t, h
a, a, a, n7, n9, n9, l, q, h
b, c, b, n2, n10, n6, l, j, r
a, d, d, n2, n3, n3, m, j, q
d, b, c, n6, n7, n16, l, q, m
b, b, a, n12, n13, n6, j, e, j
d, d, a, n10, n3, n4, m, t, h
a, b, a, n9, n2, n11, q, m, e
c, d, d, n8, n8, n16, u, k, p
d, b, c, n16, n16, n7, l, q, g
a, a, a, n9, n14, n3, l, q, h
b, b, b, n10, n10, n2, r, l, i
d, b, c, n6, n8, n5, l, q, m
a, d, b, n14, n10, n11, l, j, q
b, a, b, n4, n14, n11, g, m, k
b, a, c, n5, n4, n10, q, h, r
a, d, d, n16, n4, n14, o, t, h
a, c, c, n7, n10, n4, l, j, q
a, d, a, n15, n8, n10, l, j, q
d, d, a, n3, n3, n10, l, q, h
a, c, c, n12, n9, n7, l, f, p
a, c, d, n3, n14, n11, g, m, j
a, d, a, n12, n2, n4, l, q, h
b, a, c, n4, n9, n16, q, h, r
d, a, d, n16, n6, n1, l, q, h
b, c, a, n10, n7, n3, q, m, e
a, d, b, n15, n6, n5, e, l, l
a, b, a, n11, n13, n6, q, m, e
a, c, c, n12, n3, n5, q, h, r
c, a, c, n14, n15, n10, l, j, q
a, d, a, n13, n16, n16, l, j, q
b, c, b, n4, n11, n4, l, q, h
a, c, d, n1, n2, n16, k, f, p
d, c, d, n11, n4, n15, l, q, h
a, c, d, n4, n16, n12, f, h, m
a, c, c, n2, n4, n12, q, h, r
c, d, d, n10, n7, n6, u, l, q
c, a, b, n16, n15, n11, l, j, q
a, d, a, n5, n2, n4, j, e, j
c, d, d, n8, n13, n13, u, l, q
d, b, c, n16, n7, n2, e, u, i
c, b, c, n8, n9, n2, s, l, i
b, b, b, n2, n11, n16, r, k, i
a, b, a, n9, n4, n10, e, u, i
c, a, b, n3, n2, n1, k, m, m
c, b, c, n2, n12, n12, j, e, j
b, b, a, n16, n14, n12, j, e, j
a, d, a, n13, n12, n10, l, j, q
c, a, b, n4, n12, n11, l, j, q
b, a, c, n6, n11, n16, q, g, r
d, d, a, n14, n8, n5, l, j, p
a, a, a, n15, n11, n2, m, q, h
a, c, d, n2, n1, n12, l, e, p
b, b, b, n11, n5, n12, r, l, i
a, a, a, n10, n4, n16, l, q, h
b, d, c, n9, n10, n16, l, j, q
a, b, d, n15, n4, n3, f, h, m
b, a, a, n14, n6, n9, e, u, i
a, b, a, n3, n5, n3, e, u, i
b, a, c, n13, n5, n13, q, i, r
c, b, c, n9, n16, n3, r, k, i
a, d, c, n16, n13, n6, l, j, q
a, a, a, n7, n14, n13, l, q, h
c, d, d, n9, n5, n10, u, k, q
d, d, a, n15, n9, n1, g, g, o
b, a, c, n11, n10, n3, q, h, r
d, a, a, n14, n8, n10, f, u, i
b, d, d, n15, n8, n1, l, q, m
d, d, a, n15, n10, n11, l, j, q
d, b, c, n13, n3, n3, l, q, m
d, b, c, n2, n12, n15, h, s, u
a, d, a, n8, n16, n2, e, l, l
a, d, b, n11, n1, n14, k, j, q
d, a, c, n14, n2, n13, l, r, h
b, b, c, n2, n8, n14, j, u, j
a, c, c, n11, n6, n4, l, j, q
a, c, d, n4, n6, n7, l, f, q
b, a, a, n5, n11, n11, u, k, o
b, a, a, n6, n7, n1, u, k, o
c, b, c, n1, n2, n2, l, j, q
a, d, a, n5, n12, n2, e, l, l
d, a, d, n5, n4, n8, l, q, h
a, a, a, n2, n12, n8, e, u, i
b, a, c, n6, n1, n7, r, h, r
a, c, d, n14, n11, n4, l, f, p
a, c, d, n3, n12, n9, f, h, m
a, c, c, n15, n5, n11, g, m, j
b, a, a, n8, n8, n15, e, k, l
a, c, c, n15, n2, n7, q, h, r
b, a, c, n14, n12, n3, q, h, r
b, a, a, n14, n12, n1, e, l, l
d, b, c, n7, n9, n12, l, q, l
b, b, b, n2, n8, n1, r, k, i
c, a, b, n15, n11, n12, l, j, q
d, d, d, n7, n6, n8, l, i, q
c, b, c, n11, n4, n5, l, j, q
d, d, a, n4, n14, n11, g, g, o
a, d, a, n12, n6, n16, e, m, l
d, d, a, n1, n8, n7, m, t, h
a, a, a, n12, n8, n15, e, u, i
a, a, a, n6, n13, n3, l, q, h
a, c, c, n8, n10, n16, m, t, h
d, c, a, n5, n9, n1, g, g, o
a, b, a, n7, n5, n16, l, f, p
a, d, d, n13, n4, n5, l, j, q
b, c, a, n6, n13, n11, l, r, m
d, b, c, n15, n15, n11, l, q, m
b, c, c, n14, n1, n2, l, p, h
d, b, c, n9, n13, n13, e, u, i
b, a, a, n5, n6, n4, u, l, l
a, d, a, n11, n4, n2, u, l, l
a, a, a, n13, n12, n2, l, q, h
b, c, b, n16, n5, n8, l, j, q
a, c, c, n7, n5, n7, l, j, q
d, d, a, n14, n7, n5, m, u, h
c, a, b, n8, n11, n13, l, j, q
b, c, d, n6, n14, n14, l, f, p
b, c, a, n4, n2, n3, m, q, m
a, c, c, n16, n3, n8, m, t, h
c, b, a, n6, n4, n9, u, k, o
a, d, a, n14, n8, n7, l, j, q
d, d, a, n9, n1, n4, m, t, h
b, a, a, n9, n10, n12, e, l, l
b, a, c, n15, n3, n4, q, h, r
b, c, b, n16, n8, n4, l, q, h
c, b, c, n8, n6, n16, r, l, i
c, a, a, n13, n3, n4, l, j, q
b, a, a, n12, n3, n13, u, k, o
d, d, a, n6, n7, n8, l, j, q
b, a, c, n10, n3, n7, q, h, r
a, d, a, n11, n7, n2, e, l, l
b, a, b, n16, n6, n15, r, l, j
b, a, c, n2, n11, n6, q, h, r
a, d, a, n7, n16, n3, e, m, l
b, a, d, n4, n13, n7, q, h, r
a, b, a, n12, n10, n2, r, o, e
b, b, b, n16, n5, n3, r, l, i
a, d, a, n14, n9, n12, l, j, p
a, a, a, n10, n15, n1, e, u, i
a, a, a, n9, n10, n2, e, u, i
d, b, c, n6, n15, n12, l, q, m
b, a, c, n2, n4, n5, q, h, r
b, b, a, n8, n9, n13, l, f, p
b, b, d, n2, n4, n5, l, f, o
a, d, a, n14, n6, n13, e, l, l
b, a, c, n9, n16, n8, q, h, r
a, c, c, n13, n5, n16, q, i, r
c, d, d, n5, n2, n6, u, k, q
a, d, a, n4, n10, n2, l, j, q
b, a, a, n1, n7, n7, u, k, o
b, a, c, n9, n1, n11, q, h, r
a, d, c, n8, n14, n6, l, j, q
d, b, c, n2, n4, n8, e, u, i
b, c, b, n6, n6, n16, k, q, i
b, a, a, n14, n16, n16, e, u, i
b, c, b, n15, n3, n9, l, j, q
b, a, a, n8, n3, n16, u, k, o
c, b, c, n11, n8, n13, j, e, j
c, b, c, n4, n13, n9, r, l, h
c, a, b, n7, n7, n12, l, j, q
c, a, c, n13, n10, n9, l, j, q
a, a, a, n12, n11, n4, l, q, h
b, c, b, n2, n7, n11, l, j, q
c, a, b, n6, n1, n10, k, l, m
c, b, c, n5, n14, n12, r, l, i
c, d, d, n5, n2, n11, u, l, q
b, a, b, n8, n14, n5, q, h, r
c, d, c, n15, n12, n4, u, l, q
c, d, d, n2, n15, n13, u, l, p
c, d, d, n5, n5, n12, t, l, q
