% continuousInputs: false
% addNoisyOutputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$IndependentGenerator
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class4 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class5 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class6 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
a, a, b, g, l, j, p, h, l
c, c, a, h, f, q, j, s, k
d, d, a, f, o, h, l, l, g
d, d, a, f, q, t, f, p, h
a, d, b, r, h, j, s, j, i
b, c, a, f, h, k, r, f, u
c, b, d, u, s, f, i, r, i
c, d, c, f, s, r, h, o, l
b, b, b, f, k, i, e, s, k
a, c, c, m, t, k, o, t, g
a, c, c, g, j, k, i, s, h
d, a, a, p, g, s, r, i, j
d, d, a, f, h, h, f, e, q
a, b, d, h, e, f, i, t, e
a, c, c, p, j, k, i, h, e
d, a, d, r, t, h, g, i, j
d, b, b, i, s, k, h, j, h
a, a, b, h, i, h, o, s, h
d, b, b, p, t, k, g, f, f
d, a, a, k, j, s, o, s, u
d, d, a, f, k, s, i, o, i
b, b, d, k, q, m, i, f, u
c, c, a, h, f, r, r, s, u
b, d, a, r, s, h, m, l, e
b, b, d, t, s, o, i, q, l
a, a, a, k, m, p, h, e, k
b, a, a, p, e, s, i, t, h
c, a, d, i, m, r, e, f, t
c, a, d, s, o, f, m, u, t
b, b, b, i, r, l, e, e, q
b, d, a, s, p, f, m, u, t
d, b, b, u, s, k, i, f, g
d, d, a, f, u, e, h, o, q
d, a, d, s, u, s, t, q, l
c, a, a, q, j, t, r, k, f
c, a, d, h, o, r, g, q, e
c, a, d, k, o, f, u, f, t
c, c, a, l, f, e, r, s, q
a, c, c, j, p, k, s, f, p
b, a, d, p, r, s, i, s, r
c, a, d, h, k, i, t, f, l
b, b, b, p, g, h, f, g, g
b, d, a, i, g, s, i, r, p
b, c, d, k, q, r, i, i, k
d, c, b, p, s, i, l, j, m
b, c, a, r, r, k, m, f, s
d, b, b, p, s, q, i, j, o
b, b, d, u, r, f, h, j, r
c, c, a, i, f, t, r, s, u
b, d, b, s, t, i, g, o, l
c, c, a, s, f, u, f, r, p
b, a, a, m, u, h, i, o, p
a, d, b, s, j, i, j, m, i
a, d, b, s, e, i, r, p, l
a, c, c, l, s, s, u, u, g
a, c, d, f, h, s, o, u, k
a, d, a, j, l, g, u, i, p
d, d, a, f, h, s, g, g, t
b, b, b, i, i, l, l, g, s
b, b, c, g, q, o, g, o, g
d, a, d, e, u, k, t, j, s
c, c, a, j, e, t, r, s, u
b, a, a, q, u, f, h, t, g
b, d, b, f, m, q, m, g, q
c, b, d, h, g, h, s, u, l
c, a, d, j, o, k, h, q, e
c, c, c, f, s, o, j, e, r
b, a, a, m, g, t, u, p, l
a, b, c, o, k, i, h, q, g
a, d, a, l, o, s, k, g, o
b, d, a, s, k, r, l, e, l
a, a, b, l, i, u, k, p, p
b, d, a, e, o, l, m, p, g
b, b, c, m, m, h, h, e, g
c, c, c, g, s, o, o, f, r
a, d, a, g, r, m, i, g, p
a, c, c, j, q, s, r, f, p
b, c, a, e, k, o, m, f, g
b, b, c, i, j, l, e, m, g
a, a, b, p, h, f, r, e, e
b, b, b, p, r, r, e, p, o
d, a, d, t, u, h, l, k, g
a, a, b, h, i, s, e, f, e
a, d, a, k, o, s, k, i, h
c, a, d, k, p, t, t, r, g
b, d, a, q, r, u, i, j, h
b, b, b, i, k, m, m, t, i
c, c, c, m, s, s, h, s, l
a, d, b, r, e, i, r, h, i
a, c, c, j, h, s, o, e, p
b, b, d, t, t, k, i, q, o
d, d, a, f, l, p, j, f, k
d, d, a, f, l, r, i, o, l
a, c, c, j, i, s, f, s, h
c, c, c, h, s, r, o, g, q
c, c, c, r, s, r, o, e, k
b, b, c, g, m, l, o, o, t
a, d, a, i, l, m, i, f, i
a, c, c, h, h, s, l, u, h
a, d, b, p, u, i, s, p, m
b, c, a, r, q, k, k, f, m
b, d, a, e, k, s, m, r, t
a, a, b, p, p, k, s, e, h
a, c, c, g, t, s, r, h, g
b, c, a, e, k, g, m, o, p
d, b, c, p, m, j, o, l, s
c, b, b, i, m, g, t, s, f
a, c, b, r, e, i, r, e, m
d, a, d, i, u, g, u, q, h
a, d, a, i, r, k, q, h, q
b, b, a, r, q, k, i, f, p
b, d, a, s, p, m, m, t, s
b, a, d, p, e, k, i, k, h
b, b, c, l, p, l, t, j, t
a, d, a, f, h, u, h, j, r
d, d, a, f, f, r, l, p, l
b, b, d, s, s, t, i, f, o
a, c, b, g, u, k, p, t, h
a, c, c, p, h, s, f, i, e
a, d, b, i, i, i, g, p, u
b, a, a, s, p, i, s, q, m
c, c, a, q, f, p, f, t, i
a, d, a, i, e, i, e, i, h
b, a, a, l, p, o, l, j, u
a, a, b, k, s, s, q, j, l
b, d, a, e, g, h, m, t, o
b, b, d, k, q, e, i, r, u
d, a, d, g, p, u, k, q, j
d, a, d, e, f, q, l, k, l
b, b, a, f, u, l, k, o, u
d, b, c, g, m, j, o, l, m
b, b, c, t, l, o, o, i, g
d, a, d, s, s, r, s, u, l
d, a, d, s, u, j, f, k, s
a, d, d, k, o, h, p, j, f
c, c, b, s, f, j, r, s, u
c, a, d, i, g, r, g, e, m
b, a, b, r, k, p, r, t, l
b, a, b, k, u, u, m, t, t
a, a, b, p, q, p, h, m, h
d, b, b, p, f, k, o, f, f
b, b, d, h, h, s, i, r, o
b, d, a, e, r, m, m, t, o
d, b, c, p, l, j, k, r, f
c, c, a, h, f, h, f, s, k
d, b, b, s, t, q, m, f, o
b, c, c, l, q, s, r, s, u
c, a, d, i, k, t, o, r, e
a, c, c, p, q, k, e, u, f
d, a, a, l, o, k, t, p, i
c, c, c, p, s, o, r, f, k
a, c, c, i, j, s, p, p, h
d, c, d, u, s, o, u, k, k
b, c, a, r, q, g, k, f, s
b, b, d, t, s, e, i, t, r
a, a, a, q, j, o, f, p, u
d, b, c, k, m, j, k, r, i
b, a, d, p, o, p, i, s, h
c, a, d, h, o, s, t, p, i
a, b, b, k, s, p, h, u, h
d, d, a, f, o, u, p, e, l
d, a, d, s, f, m, e, q, s
b, b, c, g, e, l, e, u, g
b, a, d, p, p, p, i, t, h
b, b, c, t, e, k, g, j, t
a, c, c, o, s, k, p, u, j
d, c, c, k, o, j, o, s, p
b, c, a, r, f, g, g, f, l
d, b, b, t, t, q, j, f, p
b, a, d, m, u, o, u, o, k
a, d, a, t, h, j, k, f, i
b, c, b, l, g, u, t, q, o
d, a, d, g, f, g, t, h, l
a, c, c, l, f, o, g, k, g
d, a, a, l, t, k, l, s, j
a, d, d, p, r, k, i, o, r
a, a, d, p, s, r, e, t, l
b, b, b, r, r, u, t, p, g
a, b, b, o, k, m, f, p, p
c, c, a, f, f, t, f, s, i
b, b, d, k, e, k, i, r, u
d, d, d, f, q, f, f, e, l
d, a, d, p, u, k, t, p, q
a, d, c, o, q, k, s, s, h
a, c, d, g, j, l, j, f, p
d, a, d, h, f, t, j, k, p
b, d, a, s, h, f, o, j, q
a, d, c, e, u, j, g, t, l
a, a, b, p, p, p, l, t, p
c, a, d, o, f, k, t, t, g
c, c, a, o, f, j, r, s, j
d, c, a, f, f, h, k, s, f
a, b, c, g, k, j, q, s, i
b, b, c, m, h, l, g, e, t
a, d, a, g, r, t, p, j, m
a, a, b, t, i, q, e, h, l
a, c, c, h, h, s, o, t, h
d, d, a, f, u, e, o, f, r
b, b, c, i, m, u, f, q, k
d, b, c, t, t, p, p, f, p
a, c, c, h, h, s, j, u, h
a, b, c, g, k, j, i, r, r
c, a, d, e, o, h, h, r, g
a, c, c, i, j, s, f, t, u
b, a, d, p, u, i, i, q, q
b, a, d, p, u, j, i, u, r
b, b, c, t, m, m, o, l, g
b, d, d, p, l, s, m, h, o
d, b, a, m, f, q, m, f, l
d, a, d, j, i, u, f, q, f
d, a, d, p, u, t, g, j, p
b, b, d, p, s, f, g, j, l
b, c, a, r, q, l, h, e, k
a, a, b, r, k, f, h, m, q
b, d, a, r, t, o, m, g, o
b, a, a, l, u, h, s, q, l
b, b, b, h, o, r, u, s, t
b, c, a, g, s, g, i, f, e
a, d, b, s, k, j, s, o, l
a, d, a, l, o, f, p, f, q
a, d, b, j, t, t, t, l, l
c, c, c, p, s, g, u, q, r
d, a, a, p, u, q, f, h, s
d, b, b, u, u, q, g, f, p
c, c, a, p, f, e, k, g, k
d, a, a, g, u, o, g, m, g
d, a, d, m, e, k, t, f, s
a, c, c, p, s, s, f, t, e
b, b, d, u, q, s, g, f, m
d, b, b, p, t, q, h, j, l
b, b, d, h, s, p, i, r, l
a, d, b, r, e, i, r, q, l
c, c, a, j, f, u, r, s, o
b, a, d, p, q, u, i, k, r
a, c, c, o, r, s, o, g, l
c, c, c, p, s, o, r, p, t
d, b, c, p, m, j, o, r, f
a, d, a, f, l, j, e, k, m
d, b, c, p, k, j, q, r, m
d, a, d, r, u, r, g, t, h
a, d, a, k, e, f, l, i, q
c, a, d, g, l, h, u, u, i
c, d, a, e, r, o, m, p, l
c, c, a, m, f, r, q, s, u
d, d, a, f, h, t, t, l, g
b, b, b, i, g, u, l, q, q
c, a, d, k, k, t, m, r, t
a, d, a, g, l, m, q, i, h
a, c, c, r, i, k, k, u, h
c, a, d, s, g, i, o, u, g
c, d, a, j, o, u, g, g, p
c, c, a, r, f, s, r, s, k
b, b, b, k, r, r, l, p, f
a, c, c, u, h, k, h, f, g
c, c, c, m, s, o, f, p, l
a, c, c, q, j, k, e, t, p
a, c, c, h, h, r, q, g, p
b, b, b, i, u, l, e, s, t
a, a, b, f, k, j, l, e, k
d, a, d, k, j, f, u, r, t
c, c, a, s, f, f, f, s, u
d, a, a, r, f, r, p, h, p
a, d, c, i, h, k, o, i, g
d, a, a, p, s, k, j, j, p
d, a, a, l, j, r, k, m, j
b, d, a, p, f, f, k, s, i
b, c, d, r, s, k, p, f, j
b, b, c, g, j, k, e, l, g
a, c, c, i, h, t, r, f, p
a, d, c, p, s, s, o, h, f
c, a, d, l, o, f, p, p, i
a, c, c, p, h, k, e, h, l
a, a, b, u, o, e, r, j, e
c, a, d, r, j, j, o, k, g
b, a, a, m, q, j, e, j, i
c, c, a, m, f, t, f, s, o
a, d, b, p, i, i, k, q, i
b, a, d, m, r, l, o, j, u
a, d, b, g, e, t, p, g, q
b, b, d, k, q, s, g, j, u
c, c, d, h, q, g, g, j, l
d, b, c, i, l, j, q, s, p
c, c, a, o, f, k, f, r, f
d, d, a, f, l, p, i, o, l
b, b, b, k, r, r, q, s, g
d, d, a, f, f, r, j, e, i
b, c, d, s, h, o, j, r, i
b, b, d, h, e, f, i, q, i
b, d, a, r, g, s, m, j, t
a, b, c, p, m, j, k, s, g
b, c, a, j, r, k, u, f, p
b, d, a, s, m, o, m, r, f
c, c, a, u, f, h, r, g, o
b, c, a, r, f, g, u, f, o
d, d, a, f, s, o, t, j, u
d, d, a, f, i, m, t, o, j
a, d, b, r, k, i, t, i, u
a, d, b, i, u, i, s, i, m
a, a, b, f, r, r, e, s, k
a, d, b, r, h, i, k, p, l
a, a, b, u, i, j, s, r, q
a, d, c, r, q, s, j, u, e
d, b, c, p, k, i, k, s, f
c, d, a, o, f, u, f, s, i
b, a, b, i, r, h, p, g, k
c, d, d, k, p, f, e, u, m
d, c, a, m, f, t, e, g, m
d, b, c, i, k, j, q, s, p
b, d, d, p, e, u, i, o, f
b, a, a, o, p, s, m, j, j
b, d, a, e, o, h, f, o, t
b, d, a, j, r, o, m, t, i
d, d, a, g, l, h, e, i, l
b, a, d, p, h, k, i, u, k
d, a, a, u, j, u, f, g, u
a, c, c, g, t, r, f, s, g
b, a, a, g, p, m, i, j, s
d, a, d, f, u, s, k, f, l
d, a, d, j, f, g, j, f, p
c, c, c, t, s, r, j, l, l
c, b, c, g, u, l, e, e, t
d, d, a, f, h, r, j, l, j
d, a, d, j, f, k, p, g, r
a, d, a, p, t, h, l, i, l
b, c, a, i, f, f, r, f, f
b, d, a, h, g, r, h, r, p
b, c, c, i, u, o, f, u, s
a, c, c, j, q, r, f, e, g
b, b, d, j, t, t, i, j, l
b, b, a, g, i, h, e, s, f
b, b, d, i, j, s, i, j, r
b, b, c, g, q, q, i, s, s
a, d, b, r, t, t, k, f, g
d, a, c, k, m, j, o, l, s
d, d, a, f, h, s, f, h, f
d, b, c, l, k, j, q, r, r
a, d, a, t, e, p, l, f, o
b, c, a, u, f, u, r, r, o
c, a, d, e, m, s, h, p, t
a, c, c, g, q, k, u, p, j
c, a, a, e, p, t, g, j, f
b, b, d, t, h, t, i, q, l
d, b, c, o, k, j, q, p, i
d, d, a, f, u, m, f, e, f
c, c, a, r, f, p, f, s, u
b, c, a, o, q, l, h, f, s
b, b, b, s, o, h, m, p, o
b, b, d, s, q, p, g, q, g
d, b, b, e, f, k, g, f, f
c, c, c, e, r, g, u, t, r
b, d, a, h, g, u, h, o, i
d, a, a, j, h, o, u, i, j
b, b, d, q, h, q, g, r, j
a, d, b, s, i, t, e, s, q
b, a, a, h, q, h, u, o, u
b, a, d, u, r, e, g, f, o
b, a, a, l, u, f, o, k, s
c, a, d, i, o, h, m, e, e
b, b, d, h, h, f, i, s, m
b, b, b, g, l, m, p, e, k
d, a, a, p, i, h, g, p, g
a, c, c, k, j, t, r, u, f
b, a, a, f, p, f, i, i, o
a, d, c, m, t, j, j, f, u
b, b, b, k, l, h, m, g, i
a, c, c, j, t, s, h, f, l
c, b, a, u, f, i, r, s, i
d, b, b, r, t, k, m, f, l
d, d, a, f, u, t, l, j, l
a, a, b, h, s, r, t, s, i
b, b, d, i, g, o, g, t, m
d, b, b, i, f, q, i, i, e
a, d, b, s, o, i, s, i, i
b, c, a, j, f, k, r, f, i
d, a, b, s, p, q, l, f, p
a, b, d, o, j, k, s, s, h
d, b, c, g, k, j, o, s, o
b, a, a, r, p, l, i, o, r
b, a, a, o, r, h, o, j, p
a, c, d, p, j, k, o, g, q
a, a, b, j, l, u, t, m, q
a, d, d, f, l, f, k, f, t
d, d, a, g, k, o, f, g, r
b, b, c, m, j, o, o, t, g
a, c, c, p, q, s, o, u, h
d, a, a, s, k, o, l, m, f
c, a, d, i, h, t, h, q, l
d, b, b, u, u, k, i, f, o
b, b, b, i, i, h, p, q, t
a, a, a, f, r, g, m, o, l
a, c, c, h, j, k, i, p, p
b, a, a, f, p, m, i, q, m
b, c, c, t, f, l, t, e, q
d, a, a, i, j, u, o, g, j
b, b, a, o, q, r, j, j, l
b, b, c, t, h, o, e, u, g
d, b, c, p, m, j, q, l, m
d, a, d, j, u, q, t, h, g
d, d, a, f, q, q, f, u, g
a, d, b, f, g, q, h, l, f
b, a, a, o, p, i, i, q, s
a, d, b, i, r, i, s, o, i
a, d, b, g, e, h, k, t, t
d, b, b, p, p, k, t, j, g
d, b, c, k, l, j, k, q, l
c, c, c, h, s, g, j, t, l
d, b, c, p, m, j, o, r, m
b, b, b, i, l, h, f, g, f
a, c, b, i, u, k, r, p, f
d, b, c, g, s, r, j, h, l
d, a, a, u, j, s, s, m, f
b, a, d, p, h, r, i, o, r
a, d, b, r, i, i, k, i, i
b, a, a, f, p, m, h, q, m
a, d, c, r, t, i, k, t, u
b, b, c, l, f, o, g, t, g
a, d, c, s, i, i, j, e, u
d, b, c, p, m, j, i, l, r
c, a, d, l, g, r, t, q, e
c, b, d, m, j, q, h, r, t
b, a, d, p, s, k, i, o, r
c, c, a, k, f, t, f, s, u
a, d, a, s, q, t, q, j, q
d, a, b, i, u, k, t, f, o
c, a, d, i, g, s, h, q, l
a, d, b, i, r, i, k, t, o
a, a, b, g, s, t, o, f, q
b, b, b, g, g, u, q, s, h
a, d, a, f, q, t, l, j, k
d, b, b, u, f, k, o, f, r
b, b, c, t, m, l, o, k, q
b, a, c, p, k, k, i, s, h
a, d, a, t, h, t, l, i, h
d, d, a, f, k, k, t, o, i
b, b, c, i, j, o, g, g, t
d, b, b, i, t, j, p, f, l
c, c, a, m, g, s, r, f, i
a, d, b, s, k, i, j, m, m
a, a, b, u, s, r, u, o, l
b, b, a, j, f, k, h, f, g
d, c, c, f, s, o, o, e, r
a, a, b, p, s, s, s, r, h
a, c, c, p, j, s, r, p, f
b, b, d, t, q, s, g, p, l
b, b, c, i, u, o, t, r, q
d, b, b, s, g, q, g, g, q
c, c, c, p, s, g, r, m, k
a, a, b, j, i, u, j, e, t
b, b, d, q, q, p, i, j, l
a, c, c, r, s, s, f, u, g
b, b, b, s, l, u, m, q, h
c, b, a, h, f, h, k, s, k
c, d, c, u, s, r, f, l, r
b, a, d, p, t, k, i, q, r
b, b, d, k, q, g, i, s, u
d, a, d, e, g, k, e, j, p
a, d, a, h, e, m, i, g, q
b, c, a, r, q, k, g, f, e
d, a, a, l, e, f, f, g, f
b, c, c, k, f, k, q, g, g
b, a, d, p, h, s, i, l, r
a, c, c, j, j, s, u, u, e
b, a, d, p, t, j, i, q, h
b, c, c, l, u, o, t, m, q
d, b, a, e, p, j, j, g, u
c, c, c, u, s, o, r, s, k
d, a, d, r, f, l, e, j, p
c, a, a, e, o, t, l, h, u
b, d, a, f, i, m, m, t, t
a, a, b, u, h, p, j, p, g
a, a, b, i, t, s, t, t, k
a, b, b, m, s, q, p, f, o
b, a, a, o, j, k, i, t, j
a, c, c, j, q, s, s, f, j
d, b, c, p, m, j, o, r, m
b, d, a, e, s, p, m, f, p
b, d, a, o, j, g, h, f, o
b, c, c, o, s, g, o, k, s
a, c, c, o, h, k, o, s, f
a, d, a, j, h, o, g, g, i
a, d, b, t, g, i, j, p, u
a, a, b, r, q, i, r, r, m
d, d, a, f, k, o, j, f, k
b, b, c, t, h, l, f, t, s
c, c, a, j, f, e, k, h, k
a, d, b, f, m, j, j, j, r
d, d, d, f, h, k, i, f, l
a, a, b, t, k, s, o, m, g
b, c, a, g, r, g, r, f, m
b, a, d, p, k, p, i, k, u
d, a, a, q, i, k, k, i, i
b, a, d, p, t, p, i, u, h
a, d, b, r, k, i, u, t, l
a, d, a, j, h, k, u, j, t
b, c, a, g, q, h, u, f, s
d, b, c, p, k, j, o, r, p
b, a, a, o, u, h, q, f, k
c, a, d, h, k, t, t, p, t
b, b, b, p, j, m, f, g, p
a, b, c, i, s, s, u, f, i
a, d, a, i, h, p, k, g, o
a, d, a, j, e, s, h, i, o
d, a, a, r, u, k, h, f, g
a, c, c, h, t, k, f, i, p
d, c, b, s, f, q, g, f, l
d, a, d, e, u, h, g, s, h
c, d, a, e, r, q, l, f, f
a, d, a, f, g, u, j, g, o
b, d, a, q, m, o, m, g, t
b, a, a, h, q, u, u, j, u
a, d, a, t, h, j, u, g, q
d, b, c, i, k, j, q, s, i
d, b, c, k, k, j, q, s, f
a, c, c, m, q, k, s, s, p
d, a, b, p, k, u, h, g, q
a, a, b, p, i, j, m, m, l
c, c, c, f, s, r, e, g, q
c, c, c, r, s, o, p, g, l
b, b, b, m, u, r, m, g, f
d, a, d, p, u, h, l, f, h
a, d, b, r, e, i, j, q, i
d, b, c, p, m, j, p, s, g
b, c, b, h, g, m, m, e, i
d, a, d, s, u, q, k, h, h
c, c, a, i, f, t, f, s, t
a, d, c, p, q, s, s, t, f
a, c, b, i, g, i, s, p, u
d, d, a, f, l, t, j, e, e
b, b, c, l, g, o, e, q, q
c, c, c, g, s, o, f, e, s
b, a, c, i, u, l, g, t, t
a, d, a, e, f, j, i, s, h
d, b, b, p, t, k, o, f, f
d, d, a, f, o, s, r, t, h
b, a, b, p, k, l, t, p, i
b, c, a, r, f, l, h, f, e
a, a, b, g, m, j, t, l, k
d, d, a, f, k, h, h, l, l
b, a, a, p, k, u, i, o, q
a, d, a, j, o, f, p, g, t
b, a, d, p, l, k, i, o, j
a, d, b, r, g, i, k, e, p
a, c, c, j, g, k, e, h, j
d, d, d, g, u, k, s, q, p
a, a, b, k, s, j, i, j, e
c, d, a, s, i, r, f, f, i
d, b, b, t, f, k, t, f, o
d, d, a, k, l, t, j, i, q
d, b, b, s, p, q, t, f, k
c, b, b, p, m, l, l, s, p
d, c, c, p, s, o, h, k, l
d, d, a, f, s, m, h, f, j
a, d, a, k, k, i, k, g, j
d, b, c, k, m, j, i, q, l
a, c, a, f, e, m, k, g, t
c, c, d, m, s, r, o, l, r
d, b, b, u, p, k, i, j, o
b, b, d, o, r, p, i, r, j
b, d, a, s, m, s, t, t, t
a, c, c, g, h, k, e, u, p
c, c, a, j, f, k, g, g, i
c, c, a, p, f, s, f, s, j
b, a, a, p, u, u, i, k, u
a, c, c, l, h, k, h, u, u
d, b, b, u, s, k, h, f, l
b, b, d, t, j, q, i, f, m
b, c, c, o, k, k, r, u, u
b, b, d, t, j, q, g, r, o
b, b, d, j, q, t, h, r, s
d, a, a, k, t, j, l, j, f
b, a, a, f, u, l, e, j, m
d, a, a, p, t, i, l, g, f
d, b, b, i, u, q, t, f, l
d, a, a, l, j, h, h, g, f
d, b, b, g, m, j, o, s, l
c, a, a, j, q, u, k, r, e
d, b, c, g, m, j, k, l, p
a, d, b, i, f, i, o, i, m
a, c, d, p, h, s, f, t, j
a, d, b, t, h, i, l, t, l
d, d, a, f, q, t, j, l, k
a, d, b, r, q, i, g, p, m
d, a, a, h, h, m, h, q, j
b, b, d, r, t, e, i, u, m
c, a, a, l, p, k, r, f, e
a, d, b, i, i, i, s, p, i
d, b, c, q, k, j, p, p, f
c, a, d, r, j, g, o, p, i
c, c, a, p, f, j, g, s, m
a, c, a, r, r, k, p, f, g
b, c, a, g, j, g, q, f, i
a, a, b, f, t, j, j, t, g
d, a, d, j, q, o, g, o, f
a, a, b, l, k, k, u, h, g
b, b, a, o, k, h, e, g, i
d, a, a, k, t, k, l, r, j
d, a, a, r, u, r, g, p, l
d, a, a, j, l, f, h, r, e
c, a, d, k, o, t, u, f, l
b, b, d, h, e, u, j, s, i
a, d, b, i, f, i, k, p, m
b, a, b, l, u, h, e, j, m
d, a, a, k, p, u, h, r, f
c, a, d, u, h, i, q, j, f
d, b, c, k, m, j, i, l, l
b, b, a, e, r, m, s, f, p
a, d, a, j, q, e, l, f, p
c, c, d, s, s, o, o, p, l
a, c, c, u, q, s, i, p, m
b, b, d, f, e, q, i, i, u
d, b, c, g, m, j, i, s, s
a, d, b, s, s, i, k, p, l
c, c, a, p, f, q, r, s, o
b, b, b, u, g, l, e, j, s
a, b, b, j, f, o, e, t, g
b, a, a, h, i, h, m, g, t
a, a, b, r, m, j, o, e, q
a, d, b, i, e, i, r, i, m
c, a, d, h, j, r, o, q, t
d, d, a, f, o, t, o, o, s
b, a, a, g, u, p, h, p, m
b, a, a, m, p, q, q, f, r
d, a, a, u, i, e, l, j, e
c, a, d, l, k, k, o, r, l
a, a, b, l, p, s, h, g, q
d, d, b, i, q, i, k, o, u
a, d, a, j, q, t, l, f, m
a, b, b, i, s, q, l, f, l
a, b, d, o, s, k, r, f, p
d, a, a, q, k, m, k, i, f
d, b, b, p, t, k, i, j, p
a, d, b, t, f, i, k, p, i
b, b, d, u, q, t, i, j, l
b, b, b, m, q, r, u, j, o
b, a, a, t, q, u, o, j, f
a, a, b, q, k, t, u, j, t
c, a, d, m, k, r, o, r, l
d, b, c, g, m, j, m, s, g
b, c, a, j, q, g, t, f, m
b, b, d, h, f, p, i, f, r
d, a, a, r, p, e, k, j, f
a, d, a, l, q, e, h, f, h
b, b, b, i, o, l, m, p, s
a, c, c, h, q, k, e, f, p
c, b, c, f, s, g, u, s, l
a, c, c, i, t, k, f, u, j
b, a, d, p, k, p, i, l, h
b, d, b, r, f, i, k, f, i
b, b, b, f, i, r, p, g, r
c, c, d, t, f, r, j, g, k
b, a, a, f, p, h, e, j, m
c, a, d, h, j, i, g, q, t
d, d, a, l, i, r, e, l, e
c, a, a, h, q, h, g, s, e
a, c, c, r, t, s, f, t, m
b, b, c, h, h, f, i, q, t
b, b, d, i, j, e, j, j, m
b, b, d, p, e, r, i, e, m
a, c, c, o, j, s, f, u, h
a, c, c, j, q, k, i, p, m
c, c, c, q, t, o, j, j, s
d, a, a, q, t, r, j, h, u
d, b, b, u, t, q, o, f, g
b, a, a, o, r, o, l, o, r
