% continuousInputs: false
% addNoisyOutputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$TwoPartitionLimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class4 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class5 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class6 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
d, b, d, m, i, r, i, f, g
d, d, a, e, t, l, e, l, h
a, c, b, e, o, j, s, p, u
c, a, d, m, t, q, e, l, i
c, d, c, u, e, u, g, l, s
c, d, c, t, f, u, g, l, t
d, a, d, f, g, m, g, j, f
d, a, a, i, e, l, m, m, g
c, a, a, m, t, q, h, h, j
c, b, d, m, i, r, i, f, g
c, c, a, k, p, h, p, q, h
d, c, d, h, r, k, s, t, h
d, d, d, m, u, l, g, j, f
a, c, b, e, o, i, g, t, t
d, c, d, m, t, q, s, s, h
c, b, c, p, o, u, m, m, g
c, b, c, j, i, q, g, j, r
b, a, c, m, i, r, t, q, u
c, b, a, i, e, l, s, t, h
d, c, d, h, r, k, s, t, h
d, a, a, i, u, l, m, m, g
d, a, a, l, u, l, g, j, f
c, b, a, i, u, l, s, t, h
b, c, a, i, f, l, s, s, h
c, b, a, i, e, l, s, u, h
b, a, c, m, i, r, p, k, i
c, b, d, m, h, r, i, f, g
c, c, d, l, u, l, i, f, g
d, a, a, i, e, l, m, m, g
a, b, c, r, l, o, e, s, j
d, c, d, m, t, q, h, h, j
b, c, a, e, o, h, u, i, t
d, a, a, e, t, l, e, l, i
c, b, b, l, u, l, f, t, t
a, a, b, k, q, j, e, k, m
b, c, a, i, e, l, e, s, j
b, a, b, j, q, i, g, k, r
d, b, c, m, i, r, r, o, o
c, a, a, m, t, q, e, l, j
b, c, a, f, o, i, r, s, h
a, c, c, e, o, i, s, q, u
b, c, a, i, e, l, s, r, g
d, a, a, i, e, l, m, m, g
c, c, a, k, p, h, p, q, h
a, a, b, f, g, o, p, q, h
c, d, a, k, p, h, q, q, i
b, c, a, i, e, k, e, s, j
d, d, a, e, t, l, s, t, h
a, a, a, j, q, j, e, k, m
d, c, a, k, p, h, e, l, i
a, a, b, f, g, m, p, q, h
c, d, c, q, t, q, g, l, s
d, c, a, k, p, h, e, l, i
d, b, c, m, i, r, r, o, o
c, b, a, i, e, l, s, t, g
a, a, b, e, g, l, r, f, j
c, b, d, l, u, l, p, k, i
c, b, d, l, u, l, i, f, g
d, c, d, m, t, q, h, h, j
a, b, c, r, l, p, e, s, j
c, d, c, p, t, q, g, k, s
c, b, c, l, u, l, g, k, r
a, a, b, i, e, l, g, j, r
d, a, a, i, e, l, m, m, g
a, a, b, o, i, r, g, j, r
b, a, c, l, i, r, s, q, u
a, a, a, i, q, j, e, k, m
b, a, b, l, i, s, p, q, h
c, b, d, l, u, l, i, f, g
c, c, a, e, o, i, e, s, i
c, c, a, k, p, h, p, q, h
d, b, d, l, u, l, g, j, f
c, d, d, t, e, u, g, m, s
c, a, a, m, t, q, e, s, j
b, b, b, t, e, e, f, t, t
c, b, d, m, i, r, i, f, g
c, c, c, p, o, u, g, j, r
c, a, a, m, t, q, e, s, k
d, a, d, f, f, m, g, j, f
a, b, c, m, i, r, s, t, h
c, d, c, t, e, u, g, l, s
c, b, c, k, u, l, p, r, h
a, a, a, j, q, j, e, k, m
b, c, a, r, l, p, e, s, j
c, b, b, l, u, l, f, t, t
b, b, c, l, u, l, p, q, h
c, d, c, t, e, u, g, l, s
d, c, d, m, t, q, s, t, h
c, d, c, t, e, u, g, l, t
b, c, a, r, l, p, e, s, j
a, c, b, e, o, i, s, q, e
d, c, d, m, t, r, s, t, h
c, b, c, l, u, l, m, m, g
b, a, c, j, p, j, s, q, u
c, c, d, l, u, l, h, f, h
c, d, c, q, t, q, g, m, s
d, a, a, i, e, l, m, m, g
c, c, d, k, p, i, p, q, h
c, a, a, m, t, q, e, l, i
d, a, d, l, u, l, g, j, f
b, c, a, i, e, l, e, s, j
b, c, a, i, e, l, e, s, j
c, c, a, l, p, h, p, q, h
b, c, b, r, l, q, u, i, t
c, d, c, q, t, q, g, l, s
c, b, a, i, e, l, s, t, h
b, c, d, i, e, l, e, s, j
c, b, a, i, e, m, s, t, h
a, b, c, r, l, p, h, h, j
c, c, a, r, l, p, e, r, j
d, b, c, o, o, u, r, s, k
c, a, b, m, j, s, s, q, u
c, c, a, k, p, h, p, r, h
d, c, d, m, t, q, h, h, j
d, b, c, p, m, u, r, o, o
c, a, c, t, e, u, g, l, s
d, b, c, p, o, u, s, o, o
c, c, a, k, q, h, s, o, o
c, b, c, p, m, u, p, q, h
c, b, a, m, t, q, h, h, j
a, d, a, k, p, g, e, l, i
c, b, a, i, e, l, s, t, h
b, a, c, m, i, r, s, q, u
d, b, c, p, o, u, s, t, h
c, d, c, q, t, q, g, l, s
d, a, d, i, h, t, g, j, f
a, a, a, j, q, j, g, j, s
c, d, c, q, t, r, g, l, s
d, a, a, e, g, o, g, j, f
d, a, a, l, u, l, g, j, f
b, c, b, e, o, i, s, q, u
b, d, c, o, h, t, s, q, u
c, b, a, i, e, m, s, t, h
a, a, b, f, g, m, r, f, j
c, a, d, j, h, t, g, j, f
c, c, b, u, e, u, e, t, s
c, d, c, t, e, u, f, l, s
d, a, d, l, u, l, g, j, f
d, c, d, m, t, q, h, h, j
d, c, d, m, t, q, s, t, h
c, b, a, i, e, l, t, t, h
b, a, c, q, t, q, g, l, s
c, a, a, m, t, q, e, l, i
d, b, c, m, i, s, r, s, k
c, b, a, i, e, m, s, u, h
c, c, a, j, p, h, r, o, o
c, b, d, l, i, r, i, f, g
d, a, a, i, e, l, m, m, g
b, c, a, i, e, l, e, s, j
c, d, c, q, t, q, h, l, s
c, b, c, l, u, l, g, j, r
b, b, c, m, i, r, p, k, i
a, a, b, j, q, j, e, k, m
d, d, a, i, e, l, o, m, g
d, c, d, m, t, q, h, h, j
c, a, a, m, t, q, h, i, j
a, a, c, f, g, m, r, f, j
c, b, b, i, e, l, f, t, s
a, c, b, e, o, i, s, q, u
c, d, c, q, t, q, g, l, s
c, b, d, i, e, l, s, t, h
a, c, b, e, o, i, s, q, u
b, c, a, k, p, h, r, m, m
c, d, c, t, e, t, g, l, s
c, b, b, l, u, l, f, t, t
d, b, c, p, o, e, r, o, o
c, b, b, i, e, l, f, t, t
c, b, b, l, u, l, f, t, t
c, d, c, q, u, q, g, l, s
d, d, a, e, t, l, e, l, i
b, c, a, i, e, l, u, i, t
c, b, a, k, p, h, p, q, h
d, b, d, j, h, t, g, j, g
b, a, c, j, q, j, s, q, t
d, c, c, p, o, u, r, o, o
d, d, a, e, t, l, e, l, i
a, b, c, r, l, p, g, j, f
a, a, b, f, g, m, g, j, r
d, a, d, l, u, m, g, j, f
c, b, b, t, e, u, f, s, s
d, b, c, p, o, u, r, s, k
a, d, b, m, i, r, p, q, h
c, b, d, o, i, r, j, f, g
b, a, c, o, g, t, s, q, u
d, a, d, l, u, l, g, j, f
a, a, c, m, i, r, r, f, j
a, a, b, f, g, m, r, f, j
b, c, a, i, e, l, e, s, j
d, c, d, m, t, q, s, t, h
c, b, b, t, e, u, f, t, t
b, c, a, k, p, h, p, r, h
c, b, b, t, e, u, f, t, t
a, d, a, e, t, l, s, t, h
c, c, d, m, t, q, h, h, j
d, b, c, p, o, u, s, o, o
d, d, d, f, f, m, g, j, f
b, b, b, t, e, u, f, s, s
d, d, a, e, t, l, e, l, i
d, c, d, h, r, j, t, t, h
d, a, a, i, e, l, m, m, f
a, a, b, i, u, l, g, j, r
b, a, c, o, g, t, s, q, u
c, b, d, l, u, l, o, j, i
c, a, c, m, i, r, s, q, u
a, b, c, r, l, p, h, h, j
c, c, c, m, i, r, i, f, g
a, a, a, j, q, j, g, j, r
a, c, b, e, o, i, f, t, t
a, c, b, e, o, i, s, q, u
c, c, a, k, p, h, p, q, h
a, b, c, s, l, p, h, h, j
a, c, b, e, o, h, s, p, u
c, b, a, i, e, l, s, t, h
d, d, d, e, t, m, e, l, i
d, a, a, i, e, l, m, m, g
c, d, c, q, t, q, g, l, s
b, c, d, l, u, l, h, f, g
c, b, a, i, e, l, t, t, h
d, b, c, m, i, r, r, o, o
c, d, c, q, t, q, g, l, s
a, a, a, j, q, j, f, k, m
c, d, c, q, t, q, g, l, s
a, a, b, m, i, r, r, f, j
c, c, a, k, p, h, r, o, o
a, a, a, r, l, p, g, j, r
a, a, b, i, e, l, q, f, j
d, d, b, u, t, l, e, l, i
b, a, c, o, g, t, s, q, u
c, b, a, i, e, l, s, t, h
c, d, c, p, s, q, g, l, s
c, a, a, m, t, q, e, l, i
c, b, a, i, e, l, s, t, h
b, c, c, r, l, p, f, j, f
c, c, a, i, e, l, s, t, h
c, b, b, l, u, l, f, t, t
c, d, d, u, e, u, g, m, s
a, b, c, r, l, p, g, j, f
d, a, a, i, e, m, m, m, g
b, c, a, r, m, p, e, s, j
d, d, a, e, s, l, f, l, i
b, c, d, k, p, h, p, r, h
a, a, b, m, i, r, p, q, h
d, b, c, p, o, t, r, o, o
d, a, a, m, t, q, e, s, j
c, a, a, m, t, q, e, l, i
d, b, c, p, o, u, s, t, h
c, b, c, l, u, l, o, q, h
d, a, d, i, e, k, m, m, g
b, c, a, r, l, p, e, s, j
b, a, c, m, i, s, s, q, u
a, a, d, j, r, i, e, k, m
a, c, b, u, o, i, s, q, u
c, a, d, m, t, q, e, l, i
c, a, a, m, t, q, e, l, i
d, d, a, e, t, l, s, t, h
c, d, c, t, e, u, g, m, s
c, b, a, i, e, l, s, t, h
d, d, c, q, s, p, g, l, s
c, c, a, k, p, h, p, q, h
b, c, a, e, o, i, u, i, t
c, d, c, q, t, q, g, l, s
c, d, a, f, t, l, s, t, h
d, d, d, e, t, l, s, t, h
b, b, c, m, i, r, p, k, i
c, d, c, q, t, q, g, l, s
d, b, c, o, i, r, r, o, o
c, c, a, r, l, o, e, s, j
c, b, a, i, f, l, s, t, h
d, d, c, q, t, q, g, l, s
d, b, c, r, l, p, h, h, j
c, b, d, l, t, m, i, f, g
d, d, a, u, t, l, e, l, i
c, c, d, t, f, u, h, l, s
d, d, a, e, u, l, f, l, i
d, a, d, i, h, t, g, j, f
b, a, c, m, i, s, p, k, i
a, a, b, i, e, l, r, f, j
d, d, b, e, o, i, s, p, u
d, b, d, l, u, l, g, j, f
c, b, c, k, i, p, p, q, h
c, d, b, t, e, u, g, l, s
b, a, c, m, i, r, s, q, u
c, d, c, q, t, q, g, m, s
c, c, b, l, u, m, f, t, t
d, c, c, t, u, u, g, l, s
a, a, a, r, l, p, h, j, r
c, b, c, i, i, q, p, r, g
b, c, a, r, l, p, e, s, j
d, b, c, p, o, u, r, o, o
c, a, a, m, t, q, h, h, j
c, b, c, j, i, q, p, q, h
d, b, b, m, i, r, s, t, h
c, d, c, q, t, r, h, l, s
c, a, a, m, t, q, h, h, j
a, a, a, j, q, k, e, k, m
d, d, a, k, p, h, e, l, h
b, c, a, h, e, l, e, s, j
b, c, a, e, o, i, e, s, j
d, d, a, k, p, h, e, l, i
b, a, c, j, q, j, p, k, i
b, c, a, i, e, l, s, s, h
c, b, b, t, e, u, m, m, g
b, a, c, j, q, j, s, q, u
b, c, a, r, l, p, e, s, j
a, c, b, e, o, i, f, t, t
a, b, c, r, l, p, e, s, j
a, b, b, e, o, i, f, t, t
c, d, c, q, t, q, g, l, s
b, c, a, r, k, p, s, s, h
b, c, a, r, k, p, u, r, j
d, d, a, k, q, h, s, t, h
c, b, c, k, i, q, g, j, r
c, b, c, l, u, l, g, j, r
a, c, b, e, o, i, s, q, u
d, b, b, t, e, u, m, m, g
d, a, b, m, i, r, g, j, s
c, c, a, k, o, h, p, q, i
c, b, c, l, u, m, p, q, h
a, b, c, r, l, p, h, h, j
c, a, d, i, h, t, g, j, f
d, a, d, f, g, l, g, j, f
c, a, a, m, t, q, e, l, i
c, b, b, t, e, u, f, t, t
c, d, c, t, e, u, g, l, s
c, d, c, q, t, q, g, l, s
c, b, b, t, e, u, f, t, t
c, c, a, k, p, h, p, q, h
d, a, b, i, e, l, m, m, g
d, c, d, h, r, k, s, t, h
a, b, c, r, l, p, h, h, j
b, c, a, e, o, i, e, t, j
d, b, c, q, m, e, s, t, h
a, a, d, j, q, j, e, k, m
d, c, d, m, t, q, s, t, h
d, d, c, t, e, u, g, k, s
b, c, a, r, l, o, t, i, t
d, d, a, k, p, h, e, l, i
b, b, b, e, o, i, u, i, u
c, b, a, i, e, l, s, t, g
a, b, c, r, l, p, h, h, j
c, b, d, l, u, l, i, f, g
a, a, c, r, l, p, g, j, f
a, b, c, r, l, p, e, s, j
d, b, b, m, j, s, s, t, h
d, a, a, i, e, l, m, l, g
c, d, d, q, t, q, g, l, s
d, d, a, u, t, k, e, l, i
c, c, a, k, p, h, p, q, h
a, a, b, i, e, l, r, f, j
c, a, a, m, t, q, e, s, j
c, d, c, t, e, u, g, l, s
d, b, c, p, o, u, s, o, o
a, a, a, r, l, p, g, j, r
c, c, c, l, u, l, g, j, r
b, a, d, m, i, r, s, q, t
c, d, c, t, e, u, g, l, s
b, a, c, o, g, t, s, q, u
c, d, c, q, t, q, g, l, s
c, b, a, i, e, l, s, t, h
a, c, c, r, l, p, g, j, f
d, d, a, e, t, l, s, t, h
a, c, b, e, o, i, s, q, u
d, b, b, p, o, u, t, t, h
b, c, a, r, l, p, u, i, t
c, b, d, m, i, r, i, f, g
a, b, c, r, k, p, h, h, j
b, b, c, k, i, q, g, j, r
c, d, a, k, p, h, q, q, g
c, c, a, k, p, h, p, q, h
c, b, d, l, e, l, i, f, g
d, d, a, e, t, l, e, l, i
c, b, d, m, i, r, h, f, g
d, a, d, i, h, t, g, j, f
a, a, a, j, q, j, g, j, s
a, c, b, e, o, i, r, q, u
b, c, a, r, l, p, u, i, t
d, b, d, f, f, m, h, j, f
a, a, b, f, g, m, g, j, r
c, d, c, q, t, p, g, l, s
c, b, d, l, i, s, i, e, g
c, a, a, m, t, q, e, s, j
d, a, a, r, l, p, e, k, m
d, a, d, t, e, e, g, l, s
b, c, a, i, e, l, u, s, j
b, c, a, e, o, i, u, i, t
b, a, c, m, i, r, s, q, u
b, c, a, r, l, p, u, i, t
c, b, c, j, i, q, g, j, r
b, c, a, k, p, h, r, o, o
d, c, d, m, t, r, s, t, h
d, a, a, i, e, l, m, m, g
d, d, a, e, t, l, e, l, j
c, b, c, l, u, l, m, m, g
a, c, b, e, o, i, e, s, j
b, c, a, e, o, i, u, i, t
d, d, a, e, t, l, e, l, i
a, a, a, j, q, k, e, k, m
c, b, d, m, i, s, i, f, g
a, c, b, e, m, i, r, q, u
c, c, b, i, e, l, f, t, t
c, d, c, q, t, q, g, l, r
b, c, a, r, l, p, e, s, j
a, c, b, e, o, i, s, q, u
b, a, c, o, g, t, p, k, i
c, c, a, k, p, h, p, q, i
c, d, c, q, t, q, g, l, s
d, a, d, l, u, l, g, j, f
a, a, b, i, e, l, r, f, j
a, a, b, i, e, k, p, q, h
b, c, b, r, l, p, e, s, j
b, c, a, r, l, p, e, s, j
d, d, a, f, t, l, e, l, i
a, b, c, r, l, p, g, j, f
c, d, c, q, t, q, g, l, s
d, d, a, k, p, h, e, l, i
c, b, d, k, u, l, p, k, i
c, d, c, q, t, q, g, l, s
c, a, a, i, e, l, m, m, g
b, a, c, j, q, j, s, q, u
a, b, c, r, l, p, g, j, f
c, b, c, j, i, q, p, q, h
c, c, a, k, p, h, p, q, h
a, c, b, e, o, i, f, t, t
b, c, a, r, l, p, e, i, t
b, c, b, e, o, i, f, t, t
c, b, a, i, e, l, s, t, h
d, b, c, p, o, u, r, s, k
a, c, b, e, o, i, s, q, u
d, a, d, f, g, o, g, j, f
a, a, b, f, g, m, q, f, k
b, a, c, o, h, t, p, k, i
c, d, c, q, t, q, g, l, s
c, b, b, i, e, l, f, t, t
b, c, a, i, e, l, s, s, h
c, b, a, i, e, l, s, t, h
c, a, a, m, t, q, e, s, j
b, c, a, e, o, i, s, s, g
d, b, d, l, u, l, i, f, g
b, c, a, r, l, p, s, s, h
a, c, c, e, o, i, s, q, u
c, b, d, m, i, q, i, f, g
b, b, a, e, o, i, e, s, j
b, c, b, i, e, l, s, t, h
d, b, d, i, e, l, s, t, g
d, a, d, i, h, t, g, j, f
a, a, b, g, g, m, p, q, h
c, b, a, i, e, l, s, u, g
d, a, d, f, g, m, g, j, f
d, d, a, f, t, l, s, t, i
d, c, d, h, r, k, h, h, i
d, a, d, f, g, m, g, j, g
d, a, c, p, o, u, r, o, o
b, d, c, t, e, u, g, l, r
a, a, d, i, h, s, g, j, f
a, a, a, r, l, p, g, j, r
c, c, a, k, p, h, r, p, o
d, a, a, i, e, l, o, m, g
c, b, a, i, e, l, s, t, h
c, d, c, q, s, q, g, l, s
d, a, a, i, e, k, m, m, g
d, d, a, k, p, h, e, l, i
c, b, c, l, u, m, p, q, h
d, a, d, i, h, t, g, j, f
d, b, d, m, i, r, s, t, h
c, d, a, m, t, q, e, l, i
d, c, d, h, r, k, r, s, h
a, c, a, i, e, l, e, s, j
a, c, b, e, o, i, s, q, u
c, d, c, t, e, u, g, l, s
c, d, c, q, t, q, g, l, s
b, b, a, i, e, m, e, s, k
c, b, b, t, e, u, e, t, t
c, d, c, q, t, q, g, l, r
c, b, c, j, i, q, m, m, g
d, b, d, m, i, r, s, t, h
b, b, c, p, o, u, g, j, r
d, a, d, f, g, m, g, j, f
d, d, a, i, e, k, m, m, f
c, d, c, q, t, q, g, m, s
d, c, d, h, r, k, r, t, h
c, d, c, t, e, u, g, l, s
a, a, b, i, e, l, g, k, r
c, a, a, m, t, q, e, l, h
c, c, a, k, p, h, r, o, o
d, a, a, m, u, q, e, s, j
a, a, b, j, q, j, g, j, r
c, d, c, q, t, q, g, l, s
b, a, c, m, i, r, s, q, e
b, a, c, o, g, t, p, k, i
b, c, a, e, o, i, s, s, h
b, c, a, h, e, l, u, i, t
c, b, b, t, e, u, f, t, t
a, a, a, j, q, i, e, k, m
d, a, a, i, e, l, m, l, g
d, b, c, p, o, u, s, t, h
c, b, a, i, e, l, s, t, h
a, c, b, u, o, i, f, t, u
a, a, a, j, q, j, g, j, r
c, b, a, i, e, l, r, t, h
d, d, a, i, e, l, m, m, f
b, a, c, k, q, j, s, q, u
d, a, b, i, e, l, m, m, g
b, b, b, i, e, l, f, t, t
c, d, c, t, e, e, g, l, s
c, a, a, m, u, q, e, l, i
b, a, c, m, i, r, s, q, u
c, b, d, m, i, r, i, f, g
a, d, a, e, o, h, e, s, j
d, c, d, m, t, q, s, t, i
c, b, d, m, i, r, i, f, g
d, a, a, i, e, l, m, m, h
a, c, c, e, o, i, g, t, t
b, b, b, t, e, u, f, t, t
b, a, d, m, i, r, s, p, u
c, c, c, q, t, q, g, l, s
d, b, d, m, i, r, r, o, o
d, b, c, p, o, u, s, u, h
b, a, c, j, q, k, s, q, u
d, a, d, i, h, t, g, j, f
c, b, c, j, i, q, g, j, r
c, d, d, q, t, q, g, l, s
d, c, d, h, r, k, s, t, h
c, b, d, m, i, r, i, f, g
b, a, c, m, i, r, s, q, u
c, b, d, l, u, l, j, f, g
d, d, a, e, u, l, e, l, i
d, b, c, m, h, r, s, t, h
c, c, a, l, p, h, g, j, f
c, d, b, q, t, q, g, m, t
c, b, a, i, u, l, r, t, g
a, a, b, f, g, m, g, k, q
c, a, a, m, t, q, e, s, j
d, a, d, i, g, t, g, j, f
c, a, c, q, t, q, g, l, s
a, a, b, f, g, l, p, q, h
c, d, c, q, t, q, g, l, s
a, a, b, i, e, l, r, f, j
d, a, d, f, g, l, g, j, f
d, c, d, h, r, k, s, t, h
a, a, a, j, p, j, g, j, r
c, b, d, l, u, l, i, f, f
d, d, a, e, t, l, e, l, i
d, d, d, h, r, k, h, h, j
c, c, a, k, p, h, r, o, o
b, a, c, m, i, r, s, q, u
c, b, d, m, i, q, i, f, g
b, a, c, m, i, r, t, r, e
c, c, a, k, p, h, r, o, o
c, b, c, l, u, l, m, m, g
d, d, a, e, t, k, e, l, i
a, a, c, m, i, r, s, q, u
d, a, d, l, u, l, g, j, f
a, a, a, j, q, j, f, j, s
c, b, a, j, p, h, p, q, h
c, b, c, l, u, l, p, q, h
c, d, c, t, e, u, g, l, s
b, b, a, e, o, i, e, s, j
a, b, c, r, l, p, g, j, f
a, a, b, m, i, r, g, j, r
c, b, c, j, i, q, o, q, h
c, b, d, l, u, l, i, f, g
d, d, b, e, t, l, e, l, i
c, b, a, i, e, l, r, t, h
b, a, b, f, g, m, r, f, i
c, b, c, l, u, l, f, t, t
d, a, d, f, g, m, g, i, f
d, a, a, i, e, l, m, m, g
c, a, d, m, s, q, e, s, j
c, b, b, l, u, l, f, t, t
c, c, d, k, p, h, p, q, h
d, a, d, l, u, l, g, j, f
c, d, c, t, f, u, g, l, s
c, a, a, l, t, r, u, l, i
c, c, a, k, p, h, p, q, h
b, a, c, m, i, r, s, q, u
a, d, a, e, t, l, e, l, i
b, c, a, e, o, i, e, s, j
d, a, a, i, e, m, m, l, g
c, d, b, q, t, q, f, l, s
d, a, a, i, e, l, m, m, h
c, a, c, l, u, l, q, p, h
d, a, a, j, e, l, m, m, g
b, c, a, k, p, h, r, o, o
d, a, a, i, e, l, m, m, g
c, d, b, q, t, q, g, l, s
a, a, a, j, q, j, e, k, m
b, c, a, s, k, p, t, s, h
c, d, c, t, e, u, g, l, r
c, c, c, t, e, u, g, l, t
c, d, d, t, e, u, g, l, r
c, d, b, q, t, q, g, l, s
c, c, c, q, t, q, g, l, s
c, b, c, j, i, q, g, j, r
d, d, c, q, s, q, g, l, s
d, a, a, i, e, l, m, m, g
c, d, c, t, e, e, g, l, s
c, b, a, j, e, l, s, t, h
c, b, b, t, e, u, f, t, t
d, a, d, l, u, l, g, i, f
b, c, a, r, l, o, e, s, j
c, c, c, q, t, q, g, l, s
d, a, d, l, u, l, g, j, f
c, a, a, h, e, l, s, t, h
b, a, c, o, g, t, s, q, e
a, c, b, e, o, i, f, t, t
d, c, c, j, i, q, g, j, r
a, c, b, f, m, i, f, t, t
d, d, a, e, t, l, f, l, j
d, a, a, i, e, l, m, m, g
a, d, a, e, t, l, s, t, h
d, d, a, e, t, l, e, l, i
c, b, a, i, f, l, s, t, h
b, d, c, t, e, u, g, l, s
c, d, c, t, e, u, g, l, s
a, b, c, r, l, p, g, k, f
b, c, a, i, e, l, e, s, j
c, b, c, j, i, q, q, q, h
c, b, c, l, u, l, g, j, r
c, d, a, k, p, h, q, p, o
a, a, a, i, q, j, g, j, r
d, c, d, h, r, l, h, h, j
c, b, d, l, t, l, i, f, g
a, a, b, i, e, l, p, q, i
c, b, c, l, t, l, p, q, h
b, c, a, j, e, l, s, s, i
c, c, b, t, e, u, f, t, t
d, c, d, h, r, k, r, u, h
a, b, c, m, i, r, s, t, h
c, d, c, q, t, q, g, l, s
c, d, c, q, t, q, g, l, s
c, b, b, t, e, u, f, t, t
b, b, b, i, e, l, e, t, j
c, b, c, j, i, q, g, j, r
c, d, c, u, e, u, g, l, r
a, a, a, j, q, j, f, j, r
a, a, b, m, i, r, r, f, j
c, b, b, i, f, l, f, t, t
d, a, a, i, e, l, m, m, g
a, c, b, e, o, i, f, t, t
b, d, a, i, e, l, e, t, j
b, c, a, h, e, l, u, i, t
a, c, a, e, o, i, g, t, t
a, b, c, r, l, p, e, s, j
a, a, c, m, i, r, g, j, r
a, c, b, f, o, i, f, s, t
c, c, a, k, p, h, p, q, h
b, c, a, r, l, p, u, s, j
a, b, a, j, q, j, g, j, r
d, a, a, i, e, k, m, m, g
a, c, a, e, o, i, u, i, t
d, a, a, i, e, m, m, m, g
d, c, d, m, t, q, s, t, h
d, d, a, e, t, l, f, l, i
c, b, d, l, u, l, i, f, g
c, d, c, q, t, q, g, l, s
d, b, c, r, l, p, g, i, f
c, b, b, t, e, e, g, t, t
c, b, a, i, e, l, s, t, h
d, d, c, t, e, e, g, l, s
a, b, c, r, k, p, e, s, j
b, c, a, e, o, i, s, t, h
a, a, b, m, i, q, h, j, r
a, c, b, e, o, i, t, q, t
b, a, c, j, q, j, s, q, u
a, c, b, e, o, h, s, q, e
d, a, d, i, h, t, g, j, f
d, a, a, j, e, l, m, m, g
a, a, d, r, l, p, e, s, j
a, c, b, f, o, i, f, t, t
d, c, d, m, t, q, h, h, j
c, d, c, q, t, q, h, l, s
d, a, b, i, e, l, m, m, f
d, b, c, p, o, u, r, o, o
c, d, c, q, t, q, g, l, s
a, b, c, s, l, p, h, i, j
b, c, a, h, e, k, e, s, i
d, a, b, i, e, l, m, m, g
c, b, d, l, u, l, i, f, g
c, a, b, t, e, u, f, t, t
c, b, b, t, e, e, f, t, t
a, a, a, j, q, j, g, j, r
c, b, b, u, e, u, f, t, t
c, b, a, i, u, l, s, t, i
